"lat","lng"
"47.707640000000005","-124.12926000000002"
"47.540780000000005","-124.27314000000001"
"46.97948","-123.88743000000001"
"46.97507","-123.83181"
"46.969280000000005","-123.82525000000001"
"47.004020000000004","-123.39146000000001"
"47.02243000000001","-122.90999000000001"
"47.047160000000005","-122.82154000000001"
"47.04863","-122.81700000000001"
"47.05143","-122.7913"
"47.04093","-122.79128000000001"
"47.039260000000006","-122.76515"
"47.03923","-122.76471000000001"
"47.01809","-122.72719000000001"
"47.017860000000006","-122.72713000000002"
"47.01158","-122.69173"
"47.009260000000005","-122.68865000000001"
"47.00905","-122.68837"
"46.96604000000001","-122.63432000000002"
"46.938","-122.55404000000001"
"46.936640000000004","-122.35740000000001"
"46.78087000000001","-121.77944000000001"
"46.79122","-121.72861"
"46.79122","-121.72861"
"46.77698","-121.74064000000001"
"46.779070000000004","-121.73962000000002"
"46.74116","-121.91805000000001"
"47.09729","-122.43490000000001"
"47.09704000000001","-122.44343"
"47.097390000000004","-122.44825000000002"
"47.161080000000005","-122.46749000000001"
"47.161680000000004","-122.47359000000002"
"47.58713","-122.32014000000001"
"47.589380000000006","-122.32042000000001"
"47.593830000000004","-122.32006000000001"
"47.601240000000004","-122.32366"
"47.60307","-122.32598000000002"
"47.6069","-122.32908"
"47.607490000000006","-122.32958"
"47.605630000000005","-122.33403000000001"
"47.60553","-122.33394000000001"
"47.60553","-122.33394000000001"
"47.604910000000004","-122.33338"
"47.605830000000005","-122.33118"
"47.60511","-122.33053000000001"
"47.6557","-122.32246"
"48.18544000000001","-122.20046"
"48.18789","-122.20146000000001"
"48.18836","-122.15079000000001"
"48.18849","-122.14390000000002"
"48.198750000000004","-122.12949"
"48.20033","-122.12967"
"48.25527","-121.60174"
"48.16968000000001","-121.46623000000001"
"48.16968000000001","-121.46623000000001"
"48.48857","-121.59005"
"48.673480000000005","-121.26148"
"48.67421","-121.26128000000001"
"48.68312","-121.27083"
"48.68312","-121.27083"
"48.67421","-121.26128000000001"
"48.673480000000005","-121.26148"
"48.477830000000004","-120.18543000000001"
"48.47413","-120.17738000000001"
"48.346450000000004","-120.07820000000001"
"48.356010000000005","-119.59504000000001"
"48.349520000000005","-119.59109000000001"
"48.40388","-119.52137"
"48.408460000000005","-119.52144000000001"
"47.96557000000001","-118.97956"
"47.96529","-118.98481000000001"
"47.93957","-119.01078000000001"
"47.76332000000001","-118.72189000000002"
"47.642830000000004","-117.61001"
"47.642810000000004","-117.60964000000001"
"47.64291","-117.59187000000001"
"47.64291","-117.59111000000001"
"47.642970000000005","-117.55040000000001"
"47.69899","-116.79803000000001"
"47.69807","-116.79161"
"47.90063000000001","-116.71094000000001"
"47.902800000000006","-116.70755000000001"
"47.90872","-116.57851000000001"
"47.90464","-116.49873000000001"
"47.961600000000004","-116.34826000000001"
"47.985060000000004","-116.33828000000001"
"47.96976","-116.25617000000001"
"47.97838","-116.25147000000001"
"47.97838","-116.25147000000001"
"47.96976","-116.25617000000001"
"47.95018","-116.20524"
"48.03381","-116.18427000000001"
"48.07573000000001","-116.09504000000001"
"48.06651","-115.98303000000001"
"48.069860000000006","-115.98564"
"48.06998","-115.98433000000001"
"48.079950000000004","-115.97377000000002"
"48.03042000000001","-115.85672000000001"
"48.43759000000001","-115.85288000000001"
"48.19686","-114.37394"
"48.196850000000005","-114.37357000000002"
"48.197160000000004","-114.33926000000001"
"48.24038","-114.27629"
"48.37017","-114.24090000000001"
"48.49495","-113.98112"
"48.52176","-113.98864"
"48.67969","-113.81944000000001"
"48.67869","-113.81843"
"48.67707","-113.81642000000001"
"48.67707","-113.81642000000001"
"48.67869","-113.81843"
"48.67969","-113.81944000000001"
"48.52176","-113.98864"
"48.49519","-113.98137000000001"
"48.44577","-114.03511"
"48.437740000000005","-114.04169"
"48.36375","-114.15002000000001"
"48.22576","-114.16470000000001"
"47.688810000000004","-114.12581000000002"
"46.950790000000005","-114.13135000000001"
"46.00466","-112.57388"
"45.98116","-112.48859000000002"
"45.762730000000005","-111.16963000000001"
"45.69798","-111.05112000000001"
"45.695930000000004","-111.04611000000001"
"45.7","-111.04615000000001"
"45.700120000000005","-111.02104000000001"
"45.691720000000004","-111.00924"
"45.691720000000004","-111.00924"
"45.695730000000005","-111.01845000000002"
"45.68864000000001","-111.02831"
"45.6886","-111.03162"
"45.67934","-111.03206000000002"
"45.67112","-111.18561000000001"
"45.347210000000004","-111.17326000000001"
"44.65872","-111.09969000000001"
"44.645410000000005","-110.85842000000001"
"44.41405","-110.57854"
"44.477250000000005","-110.54351000000001"
"44.5131","-110.50317000000001"
"44.5131","-110.50317000000001"
"44.477250000000005","-110.54351000000001"
"44.41405","-110.57854"
"43.86607","-110.57056000000001"
"43.79017","-110.70212000000001"
"43.784960000000005","-110.72609000000001"
"43.78661","-110.72946"
"43.786460000000005","-110.72997000000001"
"43.785920000000004","-110.73082000000001"
"43.785560000000004","-110.73112"
"43.785560000000004","-110.73112"
"43.785920000000004","-110.73082000000001"
"43.786460000000005","-110.72997000000001"
"43.78661","-110.72946"
"43.784960000000005","-110.72609000000001"
"43.79017","-110.70212000000001"
"43.6509","-110.70768000000001"
"43.57432","-110.73332"
"43.48342","-110.76238000000001"
"43.48337","-110.76508000000001"
"43.47959","-110.76509000000001"
"43.32242","-110.73079000000001"
"43.17221000000001","-111.01854000000002"
"42.36025","-111.05196000000001"
"42.21314","-111.04260000000001"
"41.81559","-110.98265"
"41.77255","-111.12207000000001"
"41.26547","-110.96114000000001"
"41.26218","-110.95598000000001"
"40.713080000000005","-111.80376000000001"
"40.7147","-111.8066"
"40.756730000000005","-111.83518000000001"
"40.773010000000006","-111.84067"
"40.77282","-111.84195000000001"
"40.774800000000006","-111.85224000000001"
"40.77825","-111.85226000000002"
"40.78146","-111.86274"
"40.791290000000004","-111.86311"
"40.791290000000004","-111.86311"
"40.78634","-111.86280000000001"
"40.78412","-111.87156"
"40.76937","-111.87155000000001"
"40.76937","-111.87114000000001"
"40.71914","-111.87135"
"40.712480000000006","-111.82053"
"41.21786","-96.09102000000001"
"41.23207","-95.90414000000001"
"41.592090000000006","-93.78664"
"41.645920000000004","-93.57553000000001"
"41.64983","-93.57440000000001"
"41.60362000000001","-90.68672000000001"
"41.440360000000005","-90.33838"
"41.58254","-87.68453000000001"
"41.58438","-87.23567000000001"
"41.590720000000005","-87.23356000000001"
"41.38604","-82.18099000000001"
"41.47395","-81.70154000000001"
"41.603060000000006","-81.49978"
"41.590610000000005","-81.45452"
"42.04778","-80.08552"
"42.15147","-79.89675000000001"
"42.94216","-78.76626"
"43.00128","-78.41627000000001"
"42.70835","-73.86047"
"42.52595","-73.78826000000001"
"42.33867","-71.27858"
"42.3412","-71.26459000000001"
"42.20951","-71.14372"
"42.203100000000006","-71.11874"
"42.265010000000004","-71.09427000000001"
"42.26436","-71.09405000000001"
